ID jedince,koeficient fx
1,0.0000000
2,0.0000000
3,0.0000000
4,0.0000000
5,0.0000000
6,0.0000000
7,0.0000000
8,0.0000000
9,0.0000000
10,0.0000000
11,0.0000000
12,0.0000000
13,0.0000000
14,0.0000000
15,0.0000000
16,0.0000000
26,0.0000000
27,0.0000000
28,0.0000000
29,0.0000000
30,0.0000000
31,0.0000000
32,0.0000000
33,0.0000000
34,0.0000000
35,0.0000000
36,0.0000000
37,0.0000000
38,0.0000000
51,0.0000000
52,0.0000000
53,0.0000000
54,0.0000000
55,0.0000000
56,0.0000000
62,0.0000000
67,0.0000000
68,0.0000000
69,0.0000000
70,0.0000000
71,0.0000000
72,0.0000000
73,0.0000000
74,0.0000000
75,0.0000000
77,0.0000000
78,0.0000000
79,0.0000000
80,0.0000000
81,0.0000000
82,0.0000000
83,0.0000000
84,0.0000000
85,0.0000000
86,0.0000000
87,0.0000000
88,0.0000000
89,0.0000000
90,0.0000000
91,0.0000000
92,0.0000000
93,0.0000000
94,0.0000000
95,0.0000000
96,0.0000000
97,0.0000000
98,0.0000000
99,0.0000000
100,0.0000000
101,0.0000000
102,0.0000000
103,0.0000000
104,0.0000000
105,0.0000000
106,0.0000000
107,0.0000000
108,0.0000000
109,0.0000000
114,0.0000000
115,0.0000000
116,0.0000000
117,0.0000000
118,0.0000000
119,0.0000000
120,0.0000000
121,0.0000000
122,0.0000000
123,0.0000000
124,0.0000000
125,0.0000000
126,0.0000000
127,0.0000000
128,0.0000000
129,0.0000000
130,0.0000000
131,0.0000000
132,0.0000000
133,0.0000000
134,0.0000000
135,0.0000000
136,0.0000000
143,0.0000000
144,0.0000000
145,0.0000000
146,0.0000000
147,0.0000000
148,0.0000000
149,0.0000000
150,0.0000000
151,0.0000000
152,0.0000000
153,0.0000000
154,0.0000000
155,0.0000000
156,0.0000000
157,0.0000000
158,0.0000000
159,0.0000000
160,0.0000000
161,0.0000000
162,0.0000000
163,0.0000000
164,0.0000000
165,0.0000000
166,0.0000000
167,0.0000000
168,0.0000000
169,0.0000000
170,0.0000000
171,0.0000000
172,0.0000000
173,0.0000000
174,0.0000000
175,0.0000000
176,0.0000000
177,0.0000000
178,0.0000000
180,0.0000000
181,0.0000000
182,0.0000000
183,0.0000000
184,0.0000000
185,0.0000000
186,0.0000000
187,0.0000000
188,0.0000000
